FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
C-0130,,C-0130,0,0,
C-0174,,C-0174,0,0,
C-0172,,C-0172,0,0,
C-0176,,C-0176,0,0,
C-0180,,C-0180,0,0,
C-0182,,C-0182,0,0,
C-0183,,C-0183,0,0,
C-0190,Medium,Ensure that Service Account Tokens are only mounted where necessary,0,0,74.87685
C-0190,,notsleep,0,0,
C-0190,,kube-rbac-proxy,0,0,
C-0190,,manager,0,0,
C-0190,,carts,0,0,
C-0190,,opentelemetry-collector,0,2,
C-0190,,manager,0,0,
C-0190,,user,0,0,
C-0190,,operator,0,0,
C-0190,,manager,0,2,
C-0190,,manager,0,2,
C-0190,,manager,0,2,
C-0190,,productpage,0,0,
C-0190,,kubeshark-hub,0,2,
C-0190,,prometheus-adapter,0,1,
C-0190,,helloworld,0,1,
C-0190,,details,0,0,
C-0190,,backend,0,2,
C-0190,,ingress-controller,0,0,
C-0190,,kube-rbac-proxy,0,0,
C-0190,,manager,0,0,
C-0190,,postgres,0,0,
C-0190,,subscriber,0,2,
C-0190,,node-driver-registrar,0,2,
C-0190,,liveness-probe,0,2,
C-0190,,node-driver-registrar,0,2,
C-0190,,secrets-store,0,2,
C-0190,,liveness-probe,0,2,
C-0190,,nacos,0,1,
C-0190,,peer-finder-plugin-install,0,0,
C-0190,,helloworld,0,1,
C-0190,,argocd-server,0,0,
C-0190,,kubescape,0,2,
C-0190,,backend,0,2,
C-0190,,proxy,0,0,
C-0190,,sync,0,0,
C-0190,,frontend,0,2,
C-0190,,argocd-applicationset-controller,0,0,
C-0190,,ingress-controller,0,0,
C-0190,,auth-server,0,2,
C-0190,,jwt-server,0,0,
C-0190,,longhorn-ui,0,0,
C-0190,,sync,0,0,
C-0190,,redis,0,0,
C-0190,,sentinel,0,0,
C-0190,,split-brain-fix,0,0,
C-0190,,config-init,0,0,
C-0190,,mongodb-enterprise-operator,0,2,
C-0190,,reviews,0,0,
C-0190,,pyrra,0,0,
C-0190,,catalogue,0,0,
C-0190,,payment,0,0,
C-0190,,manager,0,2,
C-0190,,sniffer,0,2,
C-0190,,tracer,0,2,
C-0190,,load-pf-ring,0,0,
C-0190,,kube-rbac-proxy,0,0,
C-0190,,manager,0,2,
C-0190,,argo-rollouts,0,0,
C-0190,,mongodb-enterprise-operator,0,2,
C-0190,,redis,0,0,
C-0190,,sentinel,0,0,
C-0190,,split-brain-fix,0,0,
C-0190,,config-init,0,0,
C-0190,,argocd-repo-server,0,0,
C-0190,,copyutil,0,0,
C-0190,,user-db,0,0,
C-0190,,reviews,0,0,
C-0190,,operator,0,0,
C-0190,,workflow-controller,0,2,
C-0190,,dex,0,0,
C-0190,,copyutil,0,0,
C-0190,,proxy,0,0,
C-0190,,wait-for-migrations,0,0,
C-0190,,operator,0,0,
C-0190,,grafana,0,1,
C-0190,,manager,0,0,
C-0190,,helloworld,0,1,
C-0190,,backend,0,2,
C-0190,,app,0,0,
C-0190,,manager,0,2,
C-0190,,redis,0,0,
C-0190,,operator,0,0,
C-0190,,redis,0,0,
C-0190,,sentinel,0,0,
C-0190,,split-brain-fix,0,0,
C-0190,,config-init,0,0,
C-0190,,reloader-reloader,0,0,
C-0190,,ingress-controller,0,0,
C-0190,,details,0,0,
C-0190,,node-driver-registrar,0,2,
C-0190,,secrets-store,0,2,
C-0190,,liveness-probe,0,2,
C-0190,,redis,0,0,
C-0190,,manager,0,0,
C-0190,,manager,0,0,
C-0190,,dex,0,0,
C-0190,,copyutil,0,0,
C-0190,,haproxy,0,0,
C-0190,,config-init,0,0,
C-0190,,argocd-application-controller,0,0,
C-0190,,litmusportal-frontend,0,2,
C-0190,,manager,0,0,
C-0190,,pyrra,0,0,
C-0190,,httpbin,0,0,
C-0190,,productpage,0,0,
C-0190,,argocd-notifications-controller,0,0,
C-0190,,argocd-repo-server,0,0,
C-0190,,front-end,0,1,
C-0190,,argocd-image-updater,0,0,
C-0190,,grafana,0,0,
C-0190,,version-checker,0,0,
C-0190,,node-driver-registrar,0,2,
C-0190,,secrets-store,0,2,
C-0190,,liveness-probe,0,2,
C-0190,,prometheus,0,0,
C-0190,,pyrra,0,0,
C-0190,,reviews,0,0,
C-0190,,argocd-repo-server,0,0,
C-0190,,copyutil,0,0,
C-0190,,event-tracker,0,2,
C-0190,,manager,0,0,
C-0190,,liveness,0,0,
C-0190,,ratings,0,0,
C-0190,,kubehunter,0,2,
C-0190,,multicluster-cli,0,0,
C-0190,,csi-node-driver-registrar,0,0,
C-0190,,kadalu-nodeplugin,0,0,
C-0190,,kadalu-logging,0,0,
C-0190,,helloworld,0,1,
C-0190,,argocd-server,0,0,
C-0190,,node-exporter,0,2,
C-0190,,dubbo-admin,0,1,
C-0190,,user-load,0,0,
C-0190,,sync,0,0,
C-0190,,kube-state-metrics,0,0,
C-0190,,grafana,0,0,
C-0190,,kanister-operator,0,0,
C-0190,,prometheus-operator,0,0,
C-0190,,kube-rbac-proxy,0,0,
C-0190,,sync,0,0,
C-0190,,copy-kubectl,0,0,
C-0190,,mongodb-enterprise-operator-multi-cluster,0,2,
C-0190,,details,0,0,
C-0190,,prometheus-operator,0,2,
C-0190,,kube-rbac-proxy,0,0,
C-0190,,kube-state-metrics,0,0,
C-0190,,seldon-spartakus-volunteer,0,0,
C-0190,,sleep,0,0,
C-0190,,redis,0,0,
C-0190,,reviews,0,0,
C-0190,,litmus-event-tracker,0,2,
C-0190,,redis,0,0,
C-0190,,subscriber,0,2,
C-0190,,calico-kube-controllers,0,0,
C-0190,,httpbin,0,0,
C-0190,,grafana,0,0,
C-0190,,mysql-exporter,0,0,
C-0190,,fluentbit,0,0,
C-0190,,auth-server,0,2,
C-0190,,longhorn-uninstall,0,0,
C-0190,,argocd-repo-server,0,0,
C-0190,,copyutil,0,0,
C-0190,,argocd-applicationset-controller,0,0,
C-0190,,ingress-controller,0,0,
C-0190,,sync,0,0,
C-0190,,copy-kubectl,0,0,
C-0190,,httpbin,0,0,
C-0190,,kube-rbac-proxy,0,2,
C-0190,,manager,0,2,
C-0190,,reviews,0,0,
C-0190,,manager,0,2,
C-0190,,chaos-exporter,0,0,
C-0190,,csi-node-driver-registrar,0,0,
C-0190,,kadalu-nodeplugin,0,0,
C-0190,,kadalu-logging,0,0,
C-0190,,longhorn-test-nfs-container,0,0,
C-0190,,longhorn-test-cifs-container,0,0,
C-0190,,kiali,0,2,
C-0190,,sample-app,0,0,
C-0190,,debug-driver,0,2,
C-0190,,ratelimit,0,0,
C-0190,,jaeger-operator,0,0,
C-0190,,productpage,0,0,
C-0190,,argocd-application-controller,0,0,
C-0190,,ratings,0,0,
C-0190,,manager,0,0,
C-0190,,kuberay-apiserver,0,2,
C-0190,,kuberay-security-proxy,0,2,
C-0190,,sleep,0,0,
C-0190,,kube-rbac-proxy,0,0,
C-0190,,manager,0,0,
C-0190,,httpbin,0,0,
C-0190,,ext-authz,0,0,
C-0190,,manager,0,0,
C-0190,,kubebench,0,2,
C-0190,,zipkin,0,0,
C-0190,,dex,0,0,
C-0190,,copyutil,0,0,
C-0190,,argocd-applicationset-controller,0,0,
C-0190,,pyrra,0,0,
C-0190,,sync,0,0,
C-0190,,argocd-server,0,0,
C-0190,,skywalking-ui,0,0,
